City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
223,Cayeli,TR,41.0923,40.7292,72.07,74,98,5.91,overcast clouds
224,San Rafael Del Sur,NI,11.8485,-86.4384,74.37,86,100,4.16,overcast clouds
225,Bumba,CD,2.1833,22.4667,79.52,70,99,2.04,light rain
226,Saint George,US,37.1041,-113.5841,64.99,45,0,0.0,clear sky
227,Karaton,ID,-6.3424,106.1045,75.49,92,100,3.51,moderate rain
228,Yeroham,IL,30.9872,34.9314,77.34,38,0,12.41,clear sky
229,Carnarvon,AU,-24.8667,113.6333,69.89,65,73,20.4,broken clouds
230,Ponta Delgada,PT,37.7333,-25.6667,75.51,94,75,3.44,light intensity shower rain
231,Seica Mica,RO,46.05,24.1333,71.55,48,82,1.74,broken clouds
232,Quelimane,MZ,-17.8786,36.8883,85.95,58,75,8.05,broken clouds
233,Takoradi,GH,4.8845,-1.7554,82.09,69,53,8.84,broken clouds
234,Cascavel,BR,-24.9558,-53.4553,59.77,72,1,7.2,clear sky
235,Sulecin,PL,52.4443,15.1168,63.7,48,100,12.88,overcast clouds
236,Semypolky,UA,50.7167,30.9333,65.93,46,10,7.52,clear sky
237,Pangnirtung,CA,66.1451,-65.7125,25.88,77,100,1.83,overcast clouds
238,Mehran,IR,33.1222,46.1646,103.26,6,0,6.38,clear sky
239,Jalu,LY,29.0331,21.5482,80.33,30,37,10.16,scattered clouds
240,Humaita,BR,-7.5061,-63.0208,80.42,71,51,4.97,broken clouds
241,Lagoa,PT,39.05,-27.9833,70.11,91,90,12.01,overcast clouds
242,Buraydah,SA,26.326,43.975,99.05,7,0,3.33,clear sky
243,Sinazongwe,ZM,-17.2614,27.4618,91.35,28,0,14.63,clear sky
244,Rio Grande,BR,-32.035,-52.0986,66.31,66,6,11.86,clear sky
245,Saint Anthony,US,45.0205,-93.218,36.01,80,0,8.05,clear sky
246,Sistranda,NO,63.7256,8.834,46.36,72,100,34.29,light rain
247,Verkhnyaya Inta,RU,65.9811,60.3094,44.2,78,98,15.68,overcast clouds
248,Tahoua,NE,14.8888,5.2692,89.58,55,0,2.3,clear sky
249,Dunn,US,44.95,-91.8835,33.21,68,20,7.09,few clouds
250,Itacoatiara,BR,-3.1431,-58.4442,86.86,46,13,6.24,few clouds
251,Hit,IQ,33.6416,42.8251,102.67,10,1,2.86,clear sky
252,Bull Savanna,JM,17.8868,-77.5902,76.87,78,43,8.68,scattered clouds
